iter	Passed	Remaining
0	4	469
1	9	476
2	13	423
3	15	367
4	21	411
5	25	399
6	35	473
7	38	442
8	41	415
9	43	391
10	45	370
11	51	380
12	54	365
13	56	347
14	58	330
15	60	316
16	64	315
17	71	327
18	73	315
19	75	303
20	82	311
21	85	302
22	87	291
23	89	282
24	91	274
25	94	268
26	96	260
27	98	252
28	100	245
29	102	238
30	110	244
31	112	238
32	114	231
33	116	226
34	118	220
35	120	214
36	123	209
37	124	203
38	127	200
39	135	203
40	138	198
41	138	191
42	140	186
43	142	181
44	149	182
45	151	177
46	153	172
47	154	167
48	157	163
49	163	163
50	165	159
51	167	154
52	169	150
53	171	145
54	172	141
55	175	137
56	179	135
57	181	131
58	182	127
59	184	123
60	186	119
61	188	115
62	195	114
63	197	110
64	198	106
65	200	103
66	202	99
67	204	96
68	211	94
69	213	91
70	215	87
71	217	84
72	219	81
73	224	78
74	226	75
75	228	72
76	229	68
77	231	65
78	233	62
79	238	59
80	241	56
81	245	53
82	247	50
83	248	47
84	253	44
85	255	41
86	257	38
87	259	35
88	261	32
89	263	29
90	269	26
91	270	23
92	272	20
93	274	17
94	279	14
95	282	11
96	285	8
97	287	5
98	288	2
99	290	0
